iter	Passed	Remaining
0	185	185394
1	201	100525
2	218	72448
3	235	58596
4	254	50706
5	271	44978
6	292	41477
7	313	38908
8	330	36388
9	345	34251
10	364	32747
11	381	31402
12	396	30118
13	412	29066
14	428	28143
15	439	27047
16	455	26347
17	471	25726
18	488	25242
19	503	24694
20	518	24173
21	533	23721
22	546	23219
23	560	22785
24	571	22291
25	585	21949
26	600	21626
27	613	21287
28	623	20879
29	634	20517
30	646	20194
31	656	19855
32	668	19597
33	680	19332
34	691	19075
35	702	18805
36	713	18569
37	727	18414
38	740	18249
39	755	18129
40	771	18035
41	787	17970
42	803	17891
43	830	18047
44	850	18044
45	870	18057
46	892	18097
47	908	18024
48	924	17945
49	943	17930
50	962	17912
51	981	17899
52	1001	17896
53	1020	17879
54	1037	17834
55	1054	17773
56	1073	17753
57	1091	17723
58	1109	17700
59	1122	17580
60	1134	17460
61	1147	17353
62	1159	17241
63	1175	17186
64	1189	17108
65	1203	17035
66	1220	16989
67	1233	16910
68	1249	16852
69	1263	16787
70	1278	16723
71	1291	16642
72	1304	16561
73	1317	16485
74	1330	16411
75	1343	16334
76	1356	16255
77	1370	16197
78	1385	16157
79	1400	16102
80	1414	16046
81	1428	15988
82	1441	15927
83	1454	15860
84	1475	15887
85	1493	15869
86	1517	15926
87	1535	15916
88	1554	15910
89	1572	15902
90	1591	15901
91	1613	15919
92	1633	15934
93	1652	15930
94	1673	15940
95	1689	15912
96	1704	15869
97	1719	15825
98	1733	15776
99	1749	15744
100	1765	15716
101	1781	15680
102	1799	15674
103	1814	15636
104	1828	15582
105	1841	15529
106	1853	15466
107	1863	15389
108	1876	15339
109	1889	15288
110	1903	15241
111	1917	15200
112	1929	15149
113	1945	15118
114	1958	15072
115	1970	15016
116	1982	14964
117	1993	14899
118	2007	14858
119	2020	14818
120	2032	14765
121	2045	14720
122	2056	14664
123	2067	14606
124	2078	14547
125	2090	14500
126	2104	14468
127	2119	14436
128	2132	14398
129	2144	14348
130	2156	14304
131	2169	14267
132	2182	14229
133	2195	14186
134	2207	14144
135	2221	14110
136	2233	14070
137	2246	14033
138	2262	14013
139	2276	13983
140	2288	13944
141	2301	13904
142	2313	13867
143	2326	13830
144	2337	13785
145	2350	13749
146	2363	13712
147	2373	13666
148	2387	13633
149	2398	13594
150	2409	13549
151	2421	13510
152	2433	13473
153	2446	13442
154	2458	13404
155	2470	13368
156	2482	13330
157	2494	13291
158	2504	13247
159	2518	13221
160	2532	13198
161	2547	13179
162	2562	13156
163	2575	13129
164	2587	13093
165	2600	13064
166	2612	13029
167	2624	12997
168	2637	12966
169	2649	12937
170	2662	12905
171	2674	12872
172	2685	12837
173	2698	12809
174	2710	12778
175	2722	12747
176	2735	12718
177	2748	12692
178	2760	12661
179	2772	12628
180	2783	12596
181	2796	12567
182	2809	12541
183	2820	12506
184	2833	12483
185	2844	12447
186	2855	12413
187	2865	12375
188	2877	12345
189	2888	12314
190	2899	12279
191	2911	12253
